# description; Input: transcripts.gtf; PTC_to_EJ: 50nt
NMDer_ID	Gene_ID	Original_Gene_ID	Match_level	Gene_Name	Transcript_ID	Ref_TX_ID	Chrom	Strand	Tx_coordinates	annotatedStart	predictedStart	Alt_tx	ORF_considered	is_NMD	dist_to_lastEJ	uORF	threeUTR	uATG	uATG_frame	Shared_coverage	CE	MX	A5	A3	AF	AL	ATS	APA	IR	ce	mx	a5	a3	af	al	ats	apa	ir
NMDer0000051	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000029780.11	ENSMUST00000029780.11	chr3	-	119783202-119783388;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724612-119724645;119724094-119724186;119720789-119721005;119720607-119720684;119718742-119720460	TRUE	FALSE	FALSE	119783202-119783209;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724612-119724645;119724094-119724186;119720789-119721005;119720607-119720684;119720328-119720460	FALSE	133	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000055	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000200097.4	ENSMUST00000029780.11	chr3	-	119783202-119783804;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724612-119724645;119724094-119724186;119720789-119721005;119720607-119720684;119718742-119720457	TRUE	FALSE	TRUE	119783202-119783209;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724612-119724645;119724094-119724186;119720789-119721005;119720607-119720684;119720328-119720457	FALSE	130	NA	NA	NA	NA	0	NA	NA	NA	NA	119783389-119783804	NA	NA	NA	NA	NA	NA	NA	119720458-119720460	NA	NA	NA	NA	NA
NMDer0000059	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000197833.4	ENSMUST00000029780.11	chr3	-	119783202-119783234;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724094-119724186;119720789-119721005;119720607-119720684;119720320-119720460	TRUE	FALSE	TRUE	119783202-119783209;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747592-119747702;119740315-119740510;119726066-119726205;119724160-119724186	TRUE	-361	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	119724612-119724645	NA	NA	NA	119783235-119783388	119718742-119720319	NA	NA	NA
NMDer0000063	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000197387.4	ENSMUST00000029780.11	chr3	-	119726066-119726140;119724094-119724186;119720789-119721005;119720607-119720684;119720345-119720457	FALSE	FALSE	TRUE	119726066-119726125;119724160-119724186	TRUE	-361	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	119724612-119724645	NA	NA	119720458-119720460	119726141-119726205;119740315-119740510;119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116;119761703-119761778;119781504-119781534;119783202-119783388	119718742-119720344	NA	NA	NA
NMDer0000067	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000196203.1	ENSMUST00000029780.11	chr3	-	119740315-119740879;119720789-119721005;119720607-119720684;119720384-119720460	FALSE	FALSE	TRUE	119740591-119740599	TRUE	-571	NA	NA	NA	NA	0	NA	NA	NA	NA	119740511-119740879	NA	NA	NA	NA	119724094-119724186;119724612-119724645;119726066-119726205	NA	NA	NA	119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116;119761703-119761778;119781504-119781534;119783202-119783388	119718742-119720383	NA	NA	NA
NMDer0000071	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000198733.1	ENSMUST00000029780.11	chr3	-	119724094-119724387;119720809-119721005	FALSE	FALSE	TRUE	119724258-119724299	TRUE	-164	NA	NA	NA	NA	0	NA	NA	NA	NA	119724187-119724387	NA	NA	NA	NA	NA	NA	NA	NA	119724612-119724645;119726066-119726205;119740315-119740510;119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116;119761703-119761778;119781504-119781534;119783202-119783388	119718742-119720460;119720607-119720684;119720789-119720808	NA	NA	NA
NMDer0000075	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000195902.1	ENSMUST00000029780.11	chr3	-	119740315-119740510;119726066-119726220;119724612-119724645;119724107-119724186	FALSE	FALSE	TRUE	119740468-119740503	TRUE	-342	NA	NA	NA	NA	0	NA	NA	NA	119726206-119726220	NA	NA	NA	NA	NA	NA	NA	NA	NA	119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116;119761703-119761778;119781504-119781534;119783202-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724106	NA	NA	NA
NMDer0000079	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000196343.1	ENSMUST00000029780.11	chr3	-	119738722-119742768	FALSE	FALSE	TRUE	119742591-119742671	FALSE	81	NA	NA	NA	NA	0	NA	NA	NA	NA	119740511-119742768	119738722-119740314	NA	NA	NA	NA	NA	NA	NA	119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116;119761703-119761778;119781504-119781534;119783202-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205	NA	NA	NA
NMDer0000083	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000197464.4	ENSMUST00000029780.11	chr3	-	119783202-119783286;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119746635-119747702	TRUE	FALSE	TRUE	119783202-119783209;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747790-119747954;119747574-119747702	FALSE	129	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	119746635-119747591	NA	NA	NA	NA	NA	NA	NA	119783287-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205;119740315-119740510	NA	NA	NA
NMDer0000087	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000198399.4	ENSMUST00000029780.11	chr3	-	119784279-119784464;119781504-119781534;119761703-119761778;119752944-119753116;119751864-119752007;119747911-119747954	FALSE	FALSE	TRUE	119784279-119784306;119781506-119781534	TRUE	-395	NA	NA	NA	NA	0	NA	NA	NA	NA	119784279-119784464	NA	NA	NA	NA	NA	NA	NA	NA	119783202-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205;119740315-119740510;119747592-119747702;119747790-119747910	NA	NA	NA
NMDer0000091	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000199026.4	ENSMUST00000029780.11	chr3	-	119784279-119784466;119781504-119781534;119761703-119761778;119760549-119760731	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	119784279-119784466	119760549-119760731	NA	NA	NA	NA	NA	NA	NA	119783202-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205;119740315-119740510;119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116	NA	NA	NA
NMDer0000095	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000196066.1	ENSMUST00000029780.11	chr3	-	119783523-119783691;119781504-119781534;119761703-119761778;119760554-119760731	FALSE	FALSE	TRUE	119761703-119761724;119760697-119760731	FALSE	35	NA	NA	NA	NA	0	NA	NA	NA	NA	119783523-119783691	119760554-119760731	NA	NA	NA	NA	NA	NA	NA	119783202-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205;119740315-119740510;119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116	NA	NA	NA
NMDer0000099	ENSMUSG00000028134.11	MSTRG.15080	1	Ptbp2	ENSMUST00000198403.1	ENSMUST00000029780.11	chr3	-	119783202-119783307;119781504-119781534;119761703-119761778;119760556-119760731	TRUE	FALSE	TRUE	119783202-119783209;119781504-119781534;119761703-119761778;119760697-119760731	FALSE	35	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	119760556-119760731	NA	NA	NA	NA	NA	NA	NA	119783308-119783388	119718742-119720460;119720607-119720684;119720789-119721005;119724094-119724186;119724612-119724645;119726066-119726205;119740315-119740510;119747592-119747702;119747790-119747954;119751864-119752007;119752944-119753116	NA	NA	NA
NMDer0000103	ENSMUSG00000006699.17	MSTRG.16709	1	Cdc42	ENSMUST00000051477.12	ENSMUST00000051477.12	chr4	-	137357646-137357720;137335975-137336129;137332407-137332479;137329015-137329124;137328713-137328910;137319696-137321192	TRUE	FALSE	FALSE	137335975-137336079;137332407-137332479;137329015-137329124;137328713-137328910;137321103-137321192	FALSE	90	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000107	ENSMUSG00000030806.6	MSTRG.22283	1	Stx1b	ENSMUST00000106267.4	ENSMUST00000106267.4	chr7	-	127824260-127824549;127815346-127815420;127815064-127815163;127814913-127814987;127811163-127811236;127810900-127811008;127810655-127810728;127807847-127807984;127807656-127807766;127803900-127807389	TRUE	FALSE	FALSE	127824260-127824289;127815346-127815420;127815064-127815163;127814913-127814987;127811163-127811236;127810900-127811008;127810655-127810728;127807847-127807984;127807656-127807766;127807309-127807389	FALSE	81	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000002	ENSMUSG00000057789.13	MSTRG.9591	1	Bak1	ENSMUST00000025034.11	ENSMUST00000078691.11	chr17	-	27028411-27028578;27025793-27025893;27022742-27022877;27022439-27022582;27021663-27021682;27021167-27021347;27019812-27021035	TRUE	FALSE	TRUE	27025793-27025856;27022742-27022877;27022439-27022582;27021663-27021682;27021256-27021347	TRUE	-89	NA	NA	NA	NA	0	27021663-27021682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27028579-27029009	27019810-27019811	NA	NA	NA
NMDer0000106	ENSMUSG00000006699.17	MSTRG.16709	1	Cdc42	ENSMUST00000030417.9	ENSMUST00000030417.9	chr4	-	137357646-137357699;137335975-137336129;137332407-137332479;137329015-137329124;137328713-137328910;137321762-137322619	TRUE	FALSE	FALSE	137335975-137336079;137332407-137332479;137329015-137329124;137328713-137328910;137322530-137322619	FALSE	90	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000001	ENSMUSG00000057789.13	MSTRG.9591	1	Bak1	ENSMUST00000078691.11	ENSMUST00000078691.11	chr17	-	27028411-27029009;27025793-27025893;27022742-27022877;27022439-27022582;27021167-27021347;27019810-27021035	TRUE	FALSE	FALSE	27025793-27025856;27022742-27022877;27022439-27022582;27021167-27021347;27020931-27021035	FALSE	105	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000005	ENSMUSG00000024769.7	MSTRG.11134	1	Cdc42bpg	ENSMUST00000141854.1	ENSMUST00000025681.7	chr19	+	6321808-6321911;6322027-6322232	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	6321808-6321826	6322148-6322232	NA	NA	NA	NA	NA	NA	NA	6306456-6306875;6309126-6309217;6309299-6309382;6309727-6309822;6310218-6310366;6310795-6310888;6311022-6311222;6311322-6311570;6312118-6312197;6313219-6313316;6313415-6313495;6313689-6313795;6313891-6314070;6314285-6314365;6314496-6314617;6314705-6314780;6314990-6315096;6315172-6315286;6315639-6315787;6315864-6315952;6316199-6316251;6316341-6316439;6316519-6316578;6316829-6316934;6317161-6317294;6317375-6317514;6317604-6317685;6318358-6318574;6320079-6320141;6320243-6320842;6321657-6321754	6322254-6322371;6322555-6322678;6322793-6322881;6324517-6325652	NA	NA	NA
NMDer0000109	ENSMUSG00000036533.8	ENSMUSG00000036533.8	0	Cdc42ep3	ENSMUST00000068958.7	ENSMUST00000068958.7	chr17	-	79354817-79355091;79334025-79335716	TRUE	FALSE	FALSE	79334725-79335489	FALSE	765	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMDer0000004	ENSMUSG00000057789.13	MSTRG.9591	1	Bak1	ENSMUST00000133448.1	ENSMUST00000078691.11	chr17	-	27028411-27028587;27025793-27025893;27022742-27022872;27022576-27022582	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27022873-27022877	27028588-27029009	27019810-27021035;27021167-27021347;27022439-27022575	NA	NA	NA
NMDer0000108	ENSMUSG00000030806.6	MSTRG.22283	1	Stx1b	ENSMUST00000156135.2	ENSMUST00000106267.4	chr7	-	127810900-127810924;127810655-127810728;127807847-127807984;127807372-127807766	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	127807390-127807655	NA	NA	NA	NA	127810925-127811008;127811163-127811236;127814913-127814987;127815064-127815163;127815346-127815420;127824260-127824549	127803900-127807371	NA	NA	NA
