NMDer_ID	Gene_ID	Gene_Name	Transcript_ID	Ref_TX_ID	Chrom	Strand	is_NMD	CE	MX	A5	A3	AF	AL	ATS	APA	IR	ce	mx	a5	a3	af	al	ats	apa	ir
NMDer0000045	ENSMUSG00000025188.15	Hps1	ENSMUST00000160621.1	ENSMUST00000162061.1	chr19	-	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	8	2	0	1	0
NMDer0000050	ENSMUSG00000025188.15	Hps1	ENSMUST00000161761.1	ENSMUST00000162061.1	chr19	-	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	3	10	0	1	0
NMDer0000052	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000029780.11	ENSMUST00000200097.4	chr3	-	FALSE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NMDer0000055	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000200097.4	ENSMUST00000029780.11	chr3	-	FALSE	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NMDer0000059	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000197833.4	ENSMUST00000029780.11	chr3	-	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
NMDer0000063	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000197387.4	ENSMUST00000029780.11	chr3	-	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	1	8	0	1	1	0
NMDer0000067	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000196203.1	ENSMUST00000029780.11	chr3	-	NA	0	0	0	0	0	0	1	0	0	3	0	0	0	7	0	0	1	0
NMDer0000071	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000198733.1	ENSMUST00000029780.11	chr3	-	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	10	2	0	1	0
NMDer0000075	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000195902.1	ENSMUST00000029780.11	chr3	-	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	7	3	0	1	0
NMDer0000079	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000196343.1	ENSMUST00000029780.11	chr3	-	FALSE	0	0	0	0	0	0	1	1	0	0	0	0	0	7	6	0	0	0
NMDer0000086	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000197464.4	ENSMUST00000198403.1	chr3	-	FALSE	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0
NMDer0000090	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000198399.4	ENSMUST00000198403.1	chr3	-	NA	0	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0
NMDer0000094	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000199026.4	ENSMUST00000198403.1	chr3	-	FALSE	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
NMDer0000098	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000196066.1	ENSMUST00000198403.1	chr3	-	FALSE	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
NMDer0000101	ENSMUSG00000028134.11	Ptbp2	ENSMUST00000198403.1	ENSMUST00000197464.4	chr3	-	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0
NMDer0000104	ENSMUSG00000006699.17	Cdc42	ENSMUST00000051477.12	ENSMUST00000030417.9	chr4	-	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
NMDer0000105	ENSMUSG00000006699.17	Cdc42	ENSMUST00000030417.9	ENSMUST00000051477.12	chr4	-	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
NMDer0000107	ENSMUSG00000030806.6	Stx1b	ENSMUST00000106267.4	ENSMUST00000106267.4	chr7	-	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMDer0000108	ENSMUSG00000030806.6	Stx1b	ENSMUST00000156135.2	ENSMUST00000106267.4	chr7	-	FALSE	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	1	0
NMDer0000109	ENSMUSG00000036533.8	Cdc42ep3	ENSMUST00000068958.7	ENSMUST00000068958.7	chr17	-	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
